Crude Oil (petroleum) - Monthly Price,,
Month,Price,Change
Jan-89,16.48,-
Feb-89,16.35,-0.79%
Mar-89,18.03,10.28%
Apr-89,19.2,6.49%
May-89,18.02,-6.15%
Jun-89,17.63,-2.16%
Jul-89,17.67,0.23%
Aug-89,16.88,-4.47%
Sep-89,17.67,4.68%
Oct-89,18.42,4.24%
Nov-89,18.37,-0.27%
Dec-89,19.35,5.33%
Jan-90,20.35,5.17%
Feb-90,19.6,-3.69%
Mar-90,18.22,-7.04%
Apr-90,16.55,-9.17%
May-90,16.58,0.18%
Jun-90,15.27,-7.90%
Jul-90,17.17,12.44%
Aug-90,26.4,53.76%
Sep-90,32.7,23.86%
Oct-90,34.5,5.50%
Nov-90,31.08,-9.91%
Dec-90,26.13,-15.93%
Jan-91,22.58,-13.59%
Feb-91,18.13,-19.71%
Mar-91,18.07,-0.33%
Apr-91,18.47,2.21%
May-91,18.82,1.89%
Jun-91,17.93,-4.73%
Jul-91,19.05,6.25%
Aug-91,19.37,1.68%
Sep-91,20.05,3.51%
Oct-91,21.47,7.08%
Nov-91,20.77,-3.26%
Dec-91,17.75,-14.54%
Jan-92,17.38,-2.08%
Feb-92,17.62,1.38%
Mar-92,17.45,-0.96%
Apr-92,18.63,6.76%
May-92,19.5,4.67%
Jun-92,20.83,6.82%
Jul-92,20.17,-3.17%
Aug-92,19.62,-2.73%
Sep-92,20.15,2.70%
Oct-92,20.08,-0.35%
Nov-92,18.88,-5.98%
Dec-92,17.93,-5.03%
Jan-93,17.22,-3.96%
Feb-93,18.17,5.52%
Mar-93,18.47,1.65%
Apr-93,18.43,-0.22%
May-93,18.17,-1.41%
Jun-93,17.47,-3.85%
Jul-93,16.32,-6.58%
Aug-93,16.48,0.98%
Sep-93,15.9,-3.52%
Oct-93,16.52,3.90%
Nov-93,15.2,-7.99%
Dec-93,13.77,-9.41%
Jan-94,14.13,2.61%
Feb-94,13.78,-2.48%
Mar-94,13.62,-1.16%
Apr-94,15.08,10.72%
May-94,16.28,7.96%
Jun-94,17.17,5.47%
Jul-94,17.88,4.14%
Aug-94,17,-4.92%
Sep-94,16.2,-4.71%
Oct-94,16.47,1.67%
Nov-94,17.08,3.70%
Dec-94,15.94,-6.67%
Jan-95,16.9,6.02%
Feb-95,17.42,3.08%
Mar-95,17.35,-0.40%
Apr-95,18.65,7.49%
May-95,18.42,-1.23%
Jun-95,17.36,-5.75%
Jul-95,16.08,-7.37%
Aug-95,16.47,2.43%
Sep-95,16.82,2.13%
Oct-95,16.12,-4.16%
Nov-95,16.74,3.85%
Dec-95,17.87,6.75%
Jan-96,17.8,-0.39%
Feb-96,17.7,-0.56%
Mar-96,19.4,9.60%
Apr-96,20.66,6.49%
May-96,19.06,-7.74%
Jun-96,18.51,-2.89%
Jul-96,19.59,5.83%
Aug-96,20.44,4.34%
Sep-96,22.26,8.90%
Oct-96,23.61,6.06%
Nov-96,22.39,-5.17%
Dec-96,23.62,5.49%
Jan-97,23.23,-1.65%
Feb-97,20.42,-12.10%
Mar-97,19.33,-5.34%
Apr-97,17.88,-7.50%
May-97,19.37,8.33%
Jun-97,17.92,-7.49%
Jul-97,18.33,2.29%
Aug-97,18.7,2.02%
Sep-97,18.66,-0.21%
Oct-97,20.04,7.40%
Nov-97,19.09,-4.74%
Dec-97,17.09,-10.48%
Jan-98,15,-12.23%
Feb-98,14.1,-6.00%
Mar-98,13.12,-6.95%
Apr-98,13.5,2.90%
May-98,14.03,3.93%
Jun-98,12.48,-11.05%
Jul-98,12.7,1.76%
Aug-98,12.49,-1.65%
Sep-98,13.8,10.49%
Oct-98,13.26,-3.91%
Nov-98,11.88,-10.41%
Dec-98,10.41,-12.37%
Jan-99,11.44,9.89%
Feb-99,10.75,-6.03%
Mar-99,13.17,22.51%
Apr-99,15.87,20.50%
May-99,16.06,1.20%
Jun-99,16.39,2.05%
Jul-99,18.99,15.86%
Aug-99,20.27,6.74%
Sep-99,22.7,11.99%
Oct-99,21.95,-3.30%
Nov-99,24.16,10.07%
Dec-99,25.1,3.89%
Jan-00,25.31,0.84%
Feb-00,27.22,7.55%
Mar-00,27.49,0.99%
Apr-00,23.47,-14.62%
